Date,Volume,Value,Open,High,Low,Close,Change,Transaction
2015-04-01,"39,056,191","5,643,680,541",145.0,145.0,143.5,144.0,-1.50,"11,700"
2015-04-02,"52,174,388","7,651,261,176",145.0,148.0,144.5,147.0,+3.00,"15,545"
2015-04-07,"34,901,698","5,106,814,058",146.5,147.5,145.0,146.0,-1.00,"9,240"
2015-04-08,"49,474,198","7,132,875,065",145.5,146.0,143.0,143.0,-3.00,"14,640"
2015-04-09,"47,243,108","6,801,837,297",144.0,145.5,143.0,143.0, 0.00,"14,341"
2015-04-10,"33,908,579","4,948,520,786",146.0,147.0,145.0,147.0,+4.00,"13,442"
2015-04-13,"26,427,202","3,876,943,634",146.5,147.5,146.0,147.0, 0.00,"10,892"
2015-04-14,"41,702,197","6,021,009,775",145.0,145.5,143.5,144.0,-3.00,"15,801"
2015-04-15,"71,626,316","10,214,833,004",143.5,144.5,141.5,143.0,-1.00,"24,704"
2015-04-16,"55,563,272","8,114,893,484",145.0,147.0,144.5,147.0,+4.00,"20,084"
2015-04-17,"79,007,681","11,301,095,708",143.0,144.0,142.5,142.5,-4.50,"29,078"
2015-04-20,"43,593,805","6,220,438,078",142.0,144.0,141.5,143.0,+0.50,"9,856"
2015-04-21,"40,892,605","5,824,163,035",142.0,143.5,141.5,142.5,-0.50,"10,238"
2015-04-22,"40,631,875","5,844,788,500",143.5,145.0,143.0,143.5,+1.00,"12,231"
2015-04-23,"47,851,742","7,010,815,563",145.5,147.0,145.0,147.0,+3.50,"18,425"
2015-04-24,"135,458,464","20,467,883,674",149.0,152.5,148.5,152.5,+5.50,"35,056"
2015-04-27,"58,112,934","8,802,544,948",153.0,153.0,150.0,151.5,-1.00,"14,169"
2015-04-28,"43,295,538","6,563,481,738",153.5,153.5,150.5,151.5, 0.00,"12,673"
2015-04-29,"37,440,139","5,582,483,598",150.0,151.0,148.0,148.5,-3.00,"11,220"
2015-04-30,"48,982,979","7,212,381,413",147.0,148.5,146.5,147.0,-1.50,"13,793"
2015-05-04,"30,868,640","4,548,281,580",148.5,148.5,146.0,147.5,+0.50,"8,598"
2015-05-05,"27,789,400","4,083,589,300",147.5,148.0,146.0,147.0,-0.50,"6,502"
2015-05-06,"18,824,208","2,765,471,076",145.5,148.0,145.5,147.5,+0.50,"6,477"
2015-05-07,"21,908,150","3,209,664,442",146.0,147.5,146.0,146.5,-1.00,"5,816"
2015-05-08,"20,035,646","2,938,305,595",146.0,147.5,146.0,146.5, 0.00,"7,730"
2015-05-11,"20,402,529","3,020,441,292",149.0,149.0,147.0,148.5,+2.00,"6,385"
2015-05-12,"24,956,498","3,687,151,073",147.0,148.5,147.0,147.5,-1.00,"6,593"
2015-05-13,"19,437,537","2,880,697,082",147.5,149.0,147.0,148.0,+0.50,"5,694"
2015-05-14,"39,888,654","5,860,602,872",148.0,148.5,146.0,146.0,-2.00,"12,300"
2015-05-15,"24,831,890","3,627,515,848",147.0,147.0,145.0,146.5,+0.50,"8,186"
2015-05-18,"26,212,375","3,823,751,806",147.0,147.0,145.0,146.5, 0.00,"7,178"
2015-05-19,"26,321,396","3,852,118,475",145.5,147.5,145.0,146.5, 0.00,"9,418"
2015-05-20,"26,984,912","3,949,956,564",146.5,147.0,146.0,146.5, 0.00,"10,516"
2015-05-21,"41,286,686","5,995,895,156",146.0,146.5,144.5,145.5,-1.00,"12,871"
2015-05-22,"22,103,852","3,229,666,392",146.0,147.0,145.0,145.5, 0.00,"6,813"
2015-05-25,"16,323,218","2,396,692,046",146.5,147.5,145.5,147.5,+2.00,"5,998"
2015-05-26,"16,069,726","2,368,218,823",148.5,148.5,146.5,146.5,-1.00,"6,148"
2015-05-27,"24,257,941","3,536,266,849",145.5,147.0,145.0,145.0,-1.50,"6,869"
2015-05-28,"36,704,395","5,388,568,653",147.0,147.5,146.0,147.0,+2.00,"10,259"
2015-05-29,"61,983,862","9,053,910,953",147.0,147.5,145.5,146.0,-1.00,"8,252"
2015-06-01,"31,646,861","4,585,709,246",145.5,146.0,144.0,145.0,-1.00,"9,735"
2015-06-02,"33,433,403","4,812,699,032",144.5,144.5,143.5,144.0,-1.00,"10,752"
2015-06-03,"30,174,690","4,333,388,014",143.5,144.5,143.0,143.0,-1.00,"7,788"
2015-06-04,"62,313,192","8,793,986,209",142.0,142.5,140.0,141.0,-2.00,"17,920"
2015-06-05,"42,846,692","5,990,378,661",139.5,140.5,139.0,140.0,-1.00,"13,335"
2015-06-08,"45,637,640","6,346,411,738",139.5,140.0,138.5,138.5,-1.50,"17,131"
2015-06-09,"31,663,811","4,410,907,091",138.5,140.0,138.0,139.0,+0.50,"10,951"
2015-06-10,"37,243,196","5,235,873,213",141.0,141.5,139.5,139.5,+0.50,"11,225"
2015-06-11,"46,455,780","6,630,323,144",141.0,144.0,141.0,143.5,+4.00,"15,700"
2015-06-12,"35,243,603","5,072,826,832",144.0,144.5,142.5,144.5,+1.00,"9,645"
2015-06-15,"23,775,780","3,409,554,790",144.5,144.5,142.5,143.0,-1.50,"7,385"
2015-06-16,"28,696,598","4,063,948,476",143.0,143.0,141.0,142.0,-1.00,"11,387"
2015-06-17,"31,675,566","4,518,862,957",143.0,143.5,142.0,142.5,+0.50,"8,595"
2015-06-18,"28,627,136","4,072,821,812",142.0,143.0,142.0,142.0,-0.50,"5,820"
2015-06-22,"29,598,804","4,224,036,248",142.0,143.5,142.0,142.0, 0.00,"8,985"
